Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6A,USA,Commercial,Technology Development,,LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6B,USA,Commercial,Technology Development,,LEO,6/19/2014,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 7A,USA,Commercial,Technology Development,,LEO,10/8/2015,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8C,USA,Commercial,Technology Development,,LEO,11/11/2016,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8D,USA,Commercial,Technology Development,,LEO,11/11/2016,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 48D,Multinational,Commercial,Communications,,GEO,12/20/2008,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII-Bravo,Lithuania,Commercial,Communications,,LEO,4/29/2021,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII-Charlie,Lithuania,Commercial,Communications,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM,USA,Government,Earth Observation,Earth Science,LEO,4/25/2007,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-1,Norway,Government,Communications,Automatic Identification System (AIS),LEO,7/12/2010,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-2,Norway,Government,Communications,Automatic Identification System (AIS),LEO,7/8/2014,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISTechSat-2,Spain,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISTechSat-3,Spain,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,4/1/2019,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Yah-3,United Arab Emirates,Commercial,Communications,,GEO,1/25/2018,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Farabi-2,Kazakhstan,Civil,Technology Development,,LEO,12/3/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcomsat,Algeria,Government,Communications,,GEO,12/10/2017,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALE-2,Japan,Commercial,Earth Science,,LEO,12/6/2019,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa Crux,Brazil,Civil,Technology Development,,LEO,4/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALiCE,USA,Military,Technology Development,,LEO,12/6/2013,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-1B,Algeria,Government,Earth Observation,Optical Imaging,LEO,9/26/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlSat-1N,Algeria,Government,Technology Development,,LEO,9/26/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-2A,Algeria,Government,Earth Observation,Optical Imaging,LEO,7/12/2010,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-2B,Algeria,Government,Earth Observation,Optical Imaging,LEO,9/26/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-2,Spain,Commercial,Communications,Optical Imaging,GEO,10/1/2009,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-3,Spain,Commercial,Communications,,GEO,2/7/2013,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
