Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Date of Launch,Launch Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCOM-C,Japan,Government,Earth Observation,,LEO,12/22/2017,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEARRS-3,USA,Military/Commercial,Communications,,LEO,1/13/2022,Virgin Orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEARRSAT-2,USA,Government,Technology Development,,LEO,5/20/2015,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GECAM-A,China,Government,Space Science,,LEO,12/9/2020,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GECAM-B,China,Government,Space Science,,LEO,12/9/2020,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-01 ,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-02,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-03,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-04,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-05,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-06,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-07,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-08,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeeSat 5-09,China,Commercial,Earth Observation/Navigation,,LEO,6/2/2022,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis-1,USA,Commercial,Technology Development,,LEO,7/12/2006,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis-2,USA,Commercial,Technology Development,,LEO,6/28/2007,Dombarovsky Air Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2517,Russia,Military,Earth Science,,LEO,6/5/2016,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2540,Russia,Military,Earth Science,,LEO,8/30/2019,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO-Kompsat-2A,South Korea,Government,Earth Observation,Meteorology,GEO,12/4/2018,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO-Kompsat-2B,South Korea,Government,Earth Observation,Meteorology,GEO,2/18/2020,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1,USA,Government/Commercial,Earth Observation,Optical Imaging,LEO,9/6/2008,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geomagnetic Tail Laboratory (Geotail),Multinational,Government,Space Science,,Elliptical,7/24/1992,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghalib,United Arab Emirates,Government,Earth Observation,,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHGSat-C1,Canada,Commercial,Earth Science,,LEO,9/2/2020,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHGSat-C2,Canada,Commercial,Earth Science,,LEO,1/24/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHGSat-C6,Canada,Commercial,Earth Science,,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHGSat-C7,Canada,Commercial,Earth Science,,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHGSat-C8,Canada,Commercial,Earth Science,,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHGSat-D,Canada,Commercial,Earth Science,,LEO,6/22/2016,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHOSt-1,USA,Commercial,Earth Observation,Hyperspectral Imaging,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHOSt-2,USA,Commercial,Earth Observation,Hyperspectral Imaging,LEO,4/15/2023,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCOM-1,USA/Japan,Government,Earth Observation,Earth Science,LEO,5/17/2012,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar FM15,USA,Commercial,Communications,,LEO,6/19/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar FM37,USA,Commercial,Communications,,LEO,3/15/1999,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M065,USA,Commercial,Communications,,LEO,5/29/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M066,USA,Commercial,Communications,,LEO,10/20/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M067,USA,Commercial,Communications,,LEO,10/20/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M069,USA,Commercial,Communications,,LEO,5/29/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M070,USA,Commercial,Communications,,LEO,10/20/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M071,USA,Commercial,Communications,,LEO,5/29/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M072,USA,Commercial,Communications,,LEO,5/29/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M073,USA,Commercial,Communications,,LEO,10/19/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M074,USA,Commercial,Communications,,LEO,10/19/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M075,USA,Commercial,Communications,,LEO,10/19/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M076,USA,Commercial,Communications,,LEO,10/19/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M077,USA,Commercial,Communications,,LEO,10/19/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M078,USA,Commercial,Communications,,LEO,2/6/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M079,USA,Commercial,Communications,,LEO,10/19/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M080,USA,Commercial,Communications,,LEO,12/28/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M081,USA,Commercial,Communications,,LEO,7/13/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M082,USA,Commercial,Communications,,LEO,12/28/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M083,USA,Commercial,Communications,,LEO,7/13/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M084,USA,Commercial,Communications,,LEO,12/28/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M085,USA,Commercial,Communications,,LEO,7/13/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M086,USA,Commercial,Communications,,LEO,12/28/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M088,USA,Commercial,Communications,,LEO,7/13/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M089,USA,Commercial,Communications,,LEO,7/13/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M090,USA,Commercial,Communications,,LEO,12/28/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M091,USA,Commercial,Communications,,LEO,7/13/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M092,USA,Commercial,Communications,,LEO,12/28/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M093,USA,Commercial,Communications,,LEO,2/6/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M094,USA,Commercial,Communications,,LEO,2/6/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M095,USA,Commercial,Communications,,LEO,2/6/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M096,USA,Commercial,Communications,,LEO,2/6/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M097,USA,Commercial,Communications,,LEO,2/6/2013,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2559,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,10/10/2022,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2471,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,2/26/2011,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2501,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,12/1/2014,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2547,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,10/25/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2557,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,7/7/2022,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2425,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,12/25/2006,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2426,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,12/25/2006,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2432,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,10/26/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2433,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,10/26/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2434,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,12/25/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2436,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,12/25/2007,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2456,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,12/14/2009,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2459,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,3/1/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2460,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,3/1/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2457,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,12/14/2009,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2461,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,3/1/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2464,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,9/2/2010,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2476,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,11/4/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2477,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,11/4/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2475,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,11/4/2011,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2485,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,4/26/2013,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2514,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,2/7/2016,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2522,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,9/22/2017,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2516,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,5/29/2016,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2500,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,6/14/2014,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2527,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,6/18/2018,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2529,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,11/3/2018,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2534,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,5/27/2019,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2544,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,12/11/2019,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2545,Russia,Military/Commercial,Navigation/Global Positioning,,MEO,2/16/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMS-T,Germany,Commercial,Communications,,LEO,1/20/2021,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNOMES-1,USA,Commercial,Earth Science,,LEO,8/30/2020,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNOMES-2,USA,Commercial,Earth Science,,LEO,6/30/2021,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNOMES-3,USA,Commercial,Earth Science,,LEO,4/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOES-13,USA,Military,Earth Observation,Earth Science/Meterology,GEO,5/24/2006,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOES-14,USA,Government,Earth Observation,Earth Science/Meterology,GEO,6/27/2009,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOES-15,USA,Government,Earth Observation,Earth Science/Meterology,GEO,3/4/2010,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOES-R,USA,Government,Earth Observation,Earth Science/Meterology,GEO,11/19/2016,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOES-S,USA,Government,Earth Observation,Earth Science/Meterology,GEO,3/1/2018,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOES-T,USA,Government,Earth Observation,Earth Science/Meterology,GEO,3/1/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Göktürk 1,Turkey,Military,Earth Observation,Optical Imaging,LEO,12/5/2016,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Göktürk 2,Turkey,Military,Earth Observation,Optical Imaging,LEO,12/18/2012,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GomX-4A,Denmark,Military,Earth Observation,,LEO,2/2/2018,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GomX-4B,Denmark,Government,Technology Development,,LEO,2/2/2018,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-11,Russia,Commercial,Communications,,LEO,3/31/2015,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-12,Russia,Commercial,Communications,,LEO,3/31/2015,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-13,Russia,Commercial,Communications,,LEO,3/31/2015,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-14,Russia,Commercial,Communications,,LEO,9/11/2013,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-16,Russia,Commercial,Communications,,LEO,9/11/2013,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-17,Russia,Commercial,Communications,,LEO,9/11/2013,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-18,Russia,Commercial,Communications,,LEO,7/3/2014,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-19,Russia,Commercial,Communications,,LEO,7/3/2014,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-20,Russia,Commercial,Communications,,LEO,7/3/2014,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets-M-24,Russia,Commercial,Communications,,LEO,12/26/2019,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-25,Russia,Commercial,Communications,,LEO,12/26/2019,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-26,Russia,Commercial,Communications,,LEO,12/26/2019,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-27,Russia,Commercial,Communications,,LEO,9/28/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-28,Russia,Commercial,Communications,,LEO,9/28/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-29,Russia,Commercial,Communications,,LEO,9/28/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-30,Russia,Commercial,Communications,,LEO,12/3/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-31,Russia,Commercial,Communications,,LEO,12/3/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-32,Russia,Commercial,Communications,,LEO,12/3/2020,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOSAT-2,Japan,Government,Earth Observation,Earth Science,LEO,10/29/2018,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gossamer Piccolomini,USA,Commercial,Earth Observation,Subsurface Imaging,LEO,1/13/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GovSat-1,Luxembourg,Government/Military,Communications,,GEO,1/31/2018,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM Core Observatory,USA/Japan,Government,Earth Observation,Earth Science,LEO,2/27/2014,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Follow-on-1,USA/Germany,Government,Earth Observation,Earth Science,LEO,5/22/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Follow-on-2,USA/Germany,Government,Earth Observation,Earth Science,LEO,5/22/2018,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibuki,Japan,Government,Earth Observation,Earth Science,LEO,1/23/2009,Tanegashima Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUS-1A,Japan,Commercial,Earth Observation,Multispectral Imaging,LEO,12/27/2018,Vostochny Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUS-1B,Japan,Commercial,Earth Observation,Optical Imaging,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUS-1C,Japan,Commercial,Earth Observation,Optical Imaging,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUS-1D,Japan,Commercial,Earth Observation,Optical Imaging,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUS-1E,Japan,Commercial,Earth Observation,Optical Imaging,LEO,3/22/2021,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-10,India,Government,Communications,,GEO,9/28/2012,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-11,India,Government,Communications,,GEO,12/4/2018,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-12,India,Government,Communications,,GEO,7/15/2011,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-14,India,Government,Communications,,GEO,1/5/2014,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-15,India,Government,Communications,,GEO,1/10/2015,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-16,India,Government,Communications,,GEO,12/6/2014,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-17,India,Government,Communications,,GEO,6/28/2017,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-18,India,Government,Communications,,GEO,10/5/2016,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-19E,India,Government,Communications,,GEO,6/3/2017,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-24,India,Government,Communications,,GEO,6/22/2022,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-29,India,Government,Communications,,GEO,11/14/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-30,India,Government,Communications,,GEO,1/16/2020,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-31,India,Government,Communications,,GEO,2/5/2019,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-6,India,Government/Commercial,Communications,,GEO,8/27/2015,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-7,India,Military,Communications,,GEO,8/29/2013,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-7A,India,Military,Communications,,GEO,12/19/2018,Satish Dhawan Space Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-8,India,Government,Communications/Navigation,,GEO,5/20/2011,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 254,USA,Military,Space Observation,Imaging,GEO,7/28/2014,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 270,USA,Military,Space Observation,Imaging,GEO,8/19/2016,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 271,USA,Military,Space Observation,Imaging,GEO,8/19/2016,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 324,USA,Military,Space Observation,Imaging,GEO,1/21/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 325,USA,Military,Space Observation,Imaging,GEO,1/21/2022,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunsmoke-J1     ,USA,Military,Earth Observation,,LEO,3/22/2021,Rocket Lab Launch Complex 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunsmoke-J2,USA,Military,Earth Observation,,LEO,2/20/2021,Wallops Island Flight Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunsmoke-J4,USA,Military,Earth Observation,,LEO,6/30/2021,Virgin Orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan-1-01,China,Government,Earth Observation,Maritime Observation,LEO,2/27/2022,Wenchang Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan-1-02,China,Government,Earth Observation,Maritime Observation,LEO,2/27/2022,Wenchang Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haisi-2,China,Government/Civil,Earth Observation,Earth Science,LEO,6/11/2021,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 1C,China,Government,Earth Observation,Meteorology,LEO,9/7/2018,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 1D,China,Government,Earth Observation,Meteorology,LEO,6/10/2020,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 2A,China,Government,Earth Observation,Meteorology,LEO,8/15/2011,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 2B,China,Government,Earth Observation,Earth Science,LEO,10/24/2018,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 2C,China,Government,Earth Observation,Earth Science,LEO,9/21/2020,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyang 2D,China,Government,Earth Observation,Earth Science,LEO,5/19/2021,Jiuquan Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
